"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1989961,479248,151712,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT FUND LP",805-4451799558,"Delaware","United States","N","Y"
1989961,479248,151714,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT OFFSHORE FUND LP",805-1240266081,"","Cayman Islands","N","Y"
1989961,479248,151716,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT OFFSHORE FUND LTD",805-5544924917,"","Cayman Islands","N","Y"
1989961,478308,151718,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT FUND LP",805-4451799558,"Delaware","United States","N","Y"
1989961,478308,151719,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT OFFSHORE FUND LP",805-1240266081,"","Cayman Islands","N","Y"
1989961,56988,11341,"AROSA CAPITAL MANAGEMENT MULTI-STRATEGY FUND LP",805-4280057336,"Delaware","United States","N","Y"
1989961,56988,11342,"AROSA MULTI-STRATEGY INTERMEDIATE FUND LP",805-4375053119,"","Cayman Islands","N","Y"
1989961,56988,11344,"AROSA CAPITAL MANAGEMENT MULTI-STRATEGY OFFSHORE FUND LP",805-8404134161,"","Cayman Islands","N","Y"
1989961,232484,130962,"AROSA CAPITAL MANAGEMENT ALTERNATIVE ENERGY OFFSHORE FUND LP",805-6051001461,"","Cayman Islands","N","Y"
1989961,232484,130961,"AROSA CAPITAL MANAGEMENT ALTERNATIVE ENERGY FUND LP",805-3121782738,"Delaware","United States","N","Y"
1989961,478308,151721,"AROSA CAPITAL MANAGEMENT PRIVATE CREDIT OFFSHORE FUND LTD",805-5544924917,"","Cayman Islands","N","Y"
1990109,184495,145876,"GDIF US HEDGED FEEDER FUND LP",805-2161637486,"","Cayman Islands","N","Y"
1987124,364020,144215,"CERBERUS INCOME LEVERED LOAN OPPORTUNITIES FUND, L.P.",805-8626358094,"","Cayman Islands","N","Y"
1987124,192886,131825,"CERBERUS 17 RM FEEDER FUND 3, LTD.",805-9843224298,"","Cayman Islands","N","Y"
