"FilingID","ReferenceID","Foreign Regulatory Authority"
1975163,245924,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206050,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,228176,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,228160,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269520,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206082,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206118,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,311161,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311175,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311176,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311177,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311180,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311167,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,311171,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,311159,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245931,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245951,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,245917,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206089,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,228158,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,245922,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206123,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269516,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206080,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206078,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206077,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206114,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,228154,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,365097,"Singapore - Monetary Authority of Singapore"
1975163,421011,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,311178,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311187,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,311173,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,421020,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,421021,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269545,"Other - JAPAN - KANTO LOCAL FINANCE BUREAU"
1975163,206086,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,311179,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365044,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,228172,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,245928,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269544,"Other - JAPAN - KANTO LOCAL FINANCE BUREAU"
1975163,245914,"Singapore - Monetary Authority of Singapore"
1975163,311174,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365046,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365039,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,364998,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,364999,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,364996,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,364997,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,269544,"Other - JAPAN - KANTO LOCAL FINANCE BUREAU"
1975163,269545,"Other - JAPAN - KANTO LOCAL FINANCE BUREAU"
1975163,311160,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365046,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,365048,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,365049,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,365049,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,228159,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206165,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206191,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,206192,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,365054,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365055,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,365053,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975163,206196,"Cayman Islands - Cayman Islands Monetary Authority"
1975163,365043,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1975163,206085,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481033,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481109,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481128,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481220,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481242,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975375,481274,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481124,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975375,481208,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975375,481101,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481087,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481180,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481100,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481075,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481192,"Cayman Islands - Cayman Islands Monetary Authority"
1975375,481265,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975375,481271,"Cayman Islands - Cayman Islands Monetary Authority"
1975387,197813,"Cayman Islands - Cayman Islands Monetary Authority"
1975387,307118,"Cayman Islands - Cayman Islands Monetary Authority"
1975440,16547,"Other - CAYMAN ISLANDS MONETARY AUTHORITY (""CIMA"")"
1975440,186516,"Cayman Islands - Cayman Islands Monetary Authority"
1975482,432791,"Cayman Islands - Cayman Islands Monetary Authority"
1975497,197813,"Cayman Islands - Cayman Islands Monetary Authority"
1975497,307118,"Cayman Islands - Cayman Islands Monetary Authority"
1977427,367015,"Cayman Islands - Cayman Islands Stock Exchange Authority"
