FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1994666,"","","Y","","","","","","","",
1994685,"","","Y","","","","","","","",
1994715,"","","","","","Y","","","","",2024
1994721,"","","Y","","","","","","","",
1994723,"","Y","","","","","","","","",2025
1994724,"","","Y","","","","","","","",
1994729,"","","Y","","","","","","","",
1994735,"Y","","","","","","","","","",
1994738,"","","Y","","","","","","","",
1994753,"","","Y","","","","","","","",
1994770,"","","Y","","","","","","","",
1994782,"","","Y","","","","","","","",
1994789,"","","Y","","","","","","","",
1994798,"","","Y","","","","","","","",
1994800,"","","Y","","","","","","","",
1994801,"","","Y","","","","","","","",
1994803,"","","Y","","","","","","","",
1994813,"","","Y","","","","","","","",
1994834,"","Y","","","","","","","","",2025
1994848,"","","Y","","","","","","","",
1994850,"","","","","Y","","","","","",
1994851,"","","Y","","","","","","","",
1994855,"","","Y","","","","","","","",
1994857,"","","Y","","","","","","","",
1994860,"","","Y","","","","","","","",
1994912,"Y","","","","","","","","","Y",
1994916,"","","Y","","","","","","","",
1994933,"","","Y","","","","","","","",
1994948,"","","Y","","","","","","","",
1994975,"","","Y","","","","","","","",
1994978,"","","Y","","","","","","","",
1994979,"","Y","","","","","","","","",2024
1994981,"","","Y","","","","","","","",
1994986,"","","","Y","","","","","","",
1994987,"","","Y","","","","","","","",
1994990,"","Y","","","","","","","","",2025
1994992,"","","","","","Y","","","","",2025
1994993,"","","Y","","","","","","","",
1994999,"","","","","","Y","","","","",2025
1995000,"","","Y","","","","","","","",
1995002,"","","Y","","","","","","","",
1995004,"","","Y","","","","","","","",
1995005,"","","Y","","","","","","","",
1995006,"","","","","Y","","","","","",
1995007,"","","Y","","","","","","","",
1995009,"","","","","","Y","","","","",2025
1995010,"","","Y","","","","","","","",
1995012,"","","","","","Y","","","","",2025
1995015,"","","","","","Y","","","","",2025
1995016,"","","Y","","","","","","","",
1995017,"","","Y","","","","","","","",
1995027,"","","Y","","","","","","","",
1995029,"","","","","","Y","","","","",2025
1995030,"","","","","","Y","","","","",2025
1995032,"","","Y","","","","","","","",
1995033,"Y","","","","","","","","","",
1995035,"","","Y","","","","","","","",
1995038,"","Y","","","","","","","","",2024
1995043,"","","Y","","","","","","","",
1995044,"","","Y","","","","","","","",
1995045,"","","Y","","","","","","","",
1995049,"","","Y","","","","","","","",
1995054,"","","","","","","Y","","","",
1995056,"","","Y","","","","","","","",
1995057,"","","","","","","","","","Y",
1995058,"","","Y","","","","","","","",
1995059,"","","Y","","","","","","","",
1995061,"Y","","","","","","","","","",
1995062,"","","Y","","","","","","","",
