"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1994213,"RI-1015 FUND III, A SERIES OF KITTYHAWK HEAVY SPV AL5, LP",805-5553196672,"ANGELLIST ADVISORS","802-78135","N"
1995316,"FI FUND I, A SERIES OF BOOST VC SPV, LP",805-9164715922,"ANGELLIST ADVISORS","802-78135","N"
1995316,"UP FUND I, A SERIES OF BOOST VC SPV, LP",805-6253216049,"ANGELLIST ADVISORS","802-78135","N"
1995316,"WY FUND I, A SERIES OF BOOST VC SPV, LP",805-3450696956,"ANGELLIST ADVISORS","802-78135","N"
1995316,"ET FUND I, A SERIES OF BOOST VC SPV, LP",805-7985353991,"ANGELLIST ADVISORS","802-78135","N"
1995316,"RI FUND I, A SERIES OF BOOST VC SPV, LP",805-7041445847,"ANGELLIST ADVISORS","802-78135","N"
1995316,"SH FUND I, A SERIES OF BOOST VC SPV, LP",805-1571729623,"ANGELLIST ADVISORS","802-78135","N"
1995316,"UN FUND II, A SERIES OF BOOST VC SPV, LP",805-3805590263,"ANGELLIST ADVISORS","802-78135","N"
1995316,"VE FUND I, A SERIES OF BOOST VC SPV, LP",805-8434311806,"ANGELLIST ADVISORS","802-78135","N"
1995316,"KS-1222 FUND I, A SERIES OF BOOST VC SPV, LP",805-4110721825,"ANGELLIST ADVISORS","802-78135","N"
1995316,"RA-0206 FUND I, A SERIES OF BOOST VC SPV, LP",805-1133329734,"ANGELLIST ADVISORS","802-78135","N"
1995316,"RA-1011 FUND II, A SERIES OF BOOST VC SPV, LP",805-9901309683,"ANGELLIST ADVISORS","802-78135","N"
1998619,"NEW HOLLAND TACTICAL ALPHA FUND LP",805-4079867382,"NEW HOLLAND CAPITAL, LLC","801-74244","N"
1993622,"CAPITALWORKS PRIVATE EQUITY FUND II LP",805-9706383382,"CAPITALWORKS PRIVATE EQUITY ADVISOR LIMITED","802-78484","Y"
1993622,"CAPITALWORKS PRIVATE EQUITY FUND III LP",805-6253645807,"CAPITALWORKS MANAGEMENT (GUERNSEY) LIMITED","802-126292","Y"
1995931,"CAPULA GLOBAL RELATIVE VALUE MASTER FUND LIMITED",805-2162872270,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1995931,"CAPULA TAIL RISK MASTER FUND LIMITED",805-9956713521,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1995931,"CAPULA ENHANCED FIXED INCOME MASTER FUND LIMITED",805-8757523610,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1995931,"CAPULA VOLATILITY OPPORTUNITIES MASTER FUND LIMITED",805-3991946405,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1995931,"CAPULA TACTICAL MACRO MASTER FUND LIMITED",805-4981722839,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1995931,"CAPULA MULTI STRATEGY MASTER FUND LIMITED",805-9868516114,"CAPULA INVESTMENT MANAGEMENT LLP","802-75433","N"
1997734,"SSG PRIVATE DEBT RATED NOTES I LP",805-9671755346,"STEPSTONE GROUP EUROPE ALTERNATIVE INVESTMENTS LIMITED","801-108403","N"
1997734,"SSG PRIVATE DEBT RATED NOTES II LP",805-7636354753,"STEPSTONE GROUP EUROPE ALTERNATIVE INVESTMENTS LIMITED","801-108403","N"
1997734,"STEPSTONE SENIOR CORPORATE LENDING FUND II - LP",805-8656123915,"STEPSTONE GROUP EUROPE ALTERNATIVE INVESTMENTS LIMITED","801-108403","N"
1997213,"MVM III (2020) LP",805-6648451825,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM V (2020) LP",805-7531968800,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM V (2021) LP",805-2238735483,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM V LP",805-7494122778,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM A LP",805-4319394141,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM C LP",805-8861330842,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM D LP",805-6930989033,"MVM PARTNERS, LLC","802-74926","N"
1997213,"MVM VI LP",805-9683806218,"MVM PARTNERS, LLC","802-74926","N"
