"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
2007033,32236,"U.S. BANK, NA","U.S. BANK, NA","CHICAGO","Illinois","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,196257,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,318302,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,196172,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,196174,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,184066,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,196175,"U.S. BANK, NA","U.S. BANK, NA","HOUSTON","Texas","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,253765,"U.S. BANK, NA","U.S. BANK, NA","HACKENSACK","New Jersey","United States","N","",N1GZ7BBF3NP8GI976H15
2007033,234112,"BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","CHICAGO","Illinois","United States","N","",WFLLPEPC7FZXENRZV188
2007033,234113,"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","CHICAGO","Illinois","United States","N","",WFLLPEPC7FZXENRZV188
2007033,214249,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008",
2007033,214249,"U.S. BANK GLOBAL FUND SERVICES","U.S. BANK GLOBAL FUND SERVICES","MILWAUKEE","Wisconsin","United States","N","",
2007033,253767,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,370431,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,253761,"THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","THE BANK OF NEW YORK MELLON TRUST COMPANY, N.A.","CHICAGO","Illinois","United States","N","",WFLLPEPC7FZXENRZV188
2007033,32357,"U.S. BANK, NA","U.S. BANK, NA","CHICAGO","Illinois","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,31017,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,234114,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,319666,"CITIBANK, N.A.","CITIBANK, N.A.","NEW YORK","New York","United States","N","",ES7ODZWZ7FF32TWEFA76
2007033,32304,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","CHICAGO","Illinois","United States","N","",WFLLPEPC7FZXENRZV188
2007033,196258,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,373190,"CITIBANK, N.A.","CITIBANK, N.A.","NEW YORK","New York","United States","N","",ES7ODZWZ7FF32TWEFA76
2007033,373189,"CITIBANK, N.A.","CITIBANK, N.A.","NEW YORK","New York","United States","N","",ES7ODZWZ7FF32TWEFA76
2007033,30236,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","BOSTON","Massachusetts","United States","N","",571474TGEMMWANRLN572
2007033,196260,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,319667,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007033,318303,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007164,234467,"U.S. BANK GLOBAL FUND SERVICES","U.S. BANK GLOBAL FUND SERVICES","MILWAUKEE","Wisconsin","United States","N","",
2007164,234467,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008",
2007164,201358,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008",
2007164,184170,"J.P. MORGAN SECURITIES LLC","J.P. MORGAN SECURITIES LLC","NEW YORK","New York","United States","N","8-35008",
2007164,184170,"U.S. BANK GLOBAL FUND SERVICES","U.S. BANK GLOBAL FUND SERVICES","MILWAUKEE","Wisconsin","United States","N","",
2007167,428385,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007167,428368,"U.S. BANK, NA","U.S. BANK, NA","MINNEAPOLIS","Minnesota","United States","N","",6BYL5QZYBDK8S7L73M02
2007628,266360,"STIFEL, NICOLAUS & COMPANY","STIFEL, NICOLAUS & COMPANY","ST LOUIS","Missouri","United States","N","",
2006763,435439,"STATE STREET BANK AND TRUST COMPANY","STATE STREET BANK AND TRUST COMPANY","KANSAS CITY","Missouri","United States","N","",571474TGEMMWANRLN572
2006763,482866,"J.P. MORGAN CHASE BANK, N.A.","J.P. MORGAN CHASE BANK, N.A.","NEW YORK","New York","United States","N","",8I5DZWZKVSZI1NUHU748
2006763,482861,"DEUTSCHE BANK TRUST COMPANY AMERICAS","DEUTSCHE BANK TRUST COMPANY AMERICAS","SANTA ANA","California","United States","N","",8EWQ2UQKS07AKK8ANH81
2006763,482873,"JPMORGAN CHASE BANK, N.A.","JPMORGAN","BROOKLYN","New York","United States","N","",
