"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
1922607,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.","ST. PETERSBURG","FL","USA","N","8-10999","",169350130
1923062,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",228655552
1917912,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","ORLANDO","FL","USA","N","8-16514","",162089312
1922657,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","ROSEVILLE","CA","USA","N","8-16514","",851993676
1922657,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",474531521
1923110,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","BOSTON","MA","USA","N","8-17668","",370907915
1923110,"VANGUARD MARKETING CORPORATION","VANGUARD MARKETING CORPORATION","MALVERN","PA","USA","N","8-21570","",234263650
1921936,"WELLS FARGO CLEARING SERVICES, LLC","WELLS FARGO CLEARING SERVICES, LLC","ST. LOUIS","MO","USA","N","8-37180","",69349694
1921936,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",84773824
1928671,"CHARLES SCHWAB INVESTMENT ADVISORY, INC.","CHARLES SCHWAB INVESTMENT ADVISORY, INC.","OMAHA","NE","USA","N","","",238099843
1928504,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",242382320
1926718,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",104219775
1921122,"BMO TRUST COMPANY","BMO TRUST COMPANY","TORONTO","","CAN","Y","","",35763511340
1930394,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",175197606
1932329,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","BOSTON","MA","USA","N","8-17668","",1620795328
1932329,"CHARLES SCHWAB INVESTMENT ADVISORY, INC.","CHARLES SCHWAB INVESTMENT ADVISORY, INC.","SAN FRANCISCO","CA","USA","N","","",69930391
1931863,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",796083948
1924440,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",251882153
1932440,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",529922895
1932440,"U.S. BANK INSTITUTIONAL TRUST & CUSTODY","U.S. BANK","MINNEAPOLIS","MN","USA","N","","",794366388
1932440,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",77040380
1932470,"SCHWAB","SCHWAB","PHOENIX","AZ","USA","N","","",809927914
1932470,"EQUITY TRUST COMPANY","EQUITY TRUST COMPANY","WESTLAKE","OH","USA","N","","",38398901
