"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1930817,255074,"UBS AG, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1930817,255074,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1922517,435849,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON, GREATER LONDON","","United Kingdom","N"
1917528,435228,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1917528,435228,"THE BANK OF NEW YORK MELLON","",,"NEW YORK","New York","United States","Y"
1917528,435252,"CITIBANK NA","",,"NEW YORK","New York","United States","Y"
1917528,435252,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1917528,435252,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1917528,435252,"J.P. MORGAN SECURITIES LLC","",,"NEW YORK","New York","United States","Y"
1917528,435252,"JPMORGAN CHASE BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1917528,435252,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1917528,435252,"THE BANK OF NEW YORK MELLON","",,"NEW YORK","New York","United States","Y"
1917528,435252,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1917528,435252,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1928208,436428,"STIFEL, NICOLAUS & COMPANY, INCORPORATED","8-1447",793,"ST. LOUIS","Missouri","United States","Y"
1924453,190113,"WELLS FARGO PRIME SERVICES, LLC","8-66677",133068,"NEW YORK","New York","United States","Y"
1924122,309179,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1924122,309179,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1924122,309546,"GOLDMAN SACHS & CO","",,"NEW YORK","New York","United States","Y"
1924122,309546,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1924122,309179,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1922549,205263,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","N"
1922549,205263,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1922549,281098,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1922549,281150,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","N"
1922549,281150,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1922549,281098,"SCOTIA CAPITAL INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,281098,"BMO NESBITT BURNS INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,281150,"SCOTIA CAPITAL INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,281150,"BMO NESBITT BURNS INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,205263,"SCOTIA CAPITAL INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,205263,"BMO NESBITT BURNS INC.","",,"TORONTO, ONTARIO","","Canada","Y"
1922549,281098,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","N"
1925640,7678,"MERRILL LYNCH","8-651",,"SAN FRANCISCO","California","United States","Y"
1924881,365668,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1926353,178873,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1926353,178873,"BTIG, LLC","8-65473",122225,"NEW YORK","New York","United States","N"
1926353,178873,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
