"FilingID","ReferenceID","Private Fund Name","Fund ID"
1978593,201965,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1978593,284132,"SW EUROPEAN FEEDER I LP",805-7231030489
1978593,255610,"SOF-XII VIP ONSHORE, L.P.",805-9654113982
1978593,255614,"SOF-12 INTERNATIONAL S SCSP",805-7417222657
1978593,255614,"SOF-XII VIP OFFSHORE, L.P.",805-9925122446
1978593,255629,"SOF-12 INTERNATIONAL S SCSP",805-7417222657
1978593,307469,"SOF-XII FEEDER KA, L.P.",805-7969984110
1978593,255642,"SOF-XII U.S. TE/NON-U.S. FEEDER, L.P.",805-7906198046
1978593,255642,"SOF-XII VIP TE, L.P.",805-7550304501
1978593,268803,"SOF-XII VIP TE, L.P.",805-7550304501
1978593,276961,"SOF-12 AIV FEEDER 1 LP",805-2109050590
1978593,307514,"SOF-12 INTERNATIONAL S SCSP",805-7417222657
1978593,480596,"SOF-XI VIP OFFSHORE, L.P.",805-1753258765
1978593,201024,"SOF-XI VIP TE, L.P.",805-6701546422
1978593,201965,"STARWOOD OPPORTUNITY FUND XI INVESTOR KP, L.P.",805-1174781467
1978593,201965,"SOF-XI VIP TE, L.P.",805-6701546422
1978593,478011,"SGREDS FEEDER I, L.P.",805-9059474959
1978593,478232,"SOF-XIII VIP TE, L.P.",805-3724722619
1978593,478232,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1978593,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV BLOCKERCO LIMITED",805-1941461924
1978593,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV LP",805-9870580604
1978593,478232,"STARWOOD DISTRESSED OPPORTUNITY FUND XIII UK AIV (BLOCKED) LP",805-6680418831
1978593,478232,"SDOF XIII FEEDER UK AIV (BLOCKED) LP",805-9028610397
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV II, L.P.",805-8477236053
1978593,478232,"SOF-XIII FEEDER I, L.P.",805-5941408582
1978593,478232,"SOF-XIII VIP ONSHORE, L.P.",805-5070022950
1978593,478226,"SOF-XIII INTERNATIONAL BLOCKER, L.P.",805-1765409136
1978593,478103,"SOF-XIII VIP ONSHORE, L.P.",805-5070022950
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE AGGREGATOR AIV, L.P.",805-8642221448
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV I, L.P.",805-4634038116
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV I L.P.",805-9809677362
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR KA, L.P.",805-3901103275
1978593,287227,"STARWOOD OPPORTUNITY FUND XI U.S. INSTITUTIONAL MAR AGGREGATOR AIV, L.P.",805-5154382986
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR KS, L.P.",805-2743638953
1978593,478189,"SOF-XIII VIP TE, L.P.",805-3724722619
1978593,480596,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. PRIVATE NRE AIV II, L.P.",805-8477236053
1978593,255657,"SOF-XII FEEDER KA, L.P.",805-7969984110
1978593,307469,"SOF-XII VIP OFFSHORE, L.P.",805-9925122446
1978593,255677,"STARWOOD DISTRESSED SPECIAL SITUATIONS CO-INVEST K FEEDER, L.P.",805-1396759176
1978593,255697,"STARWOOD DISTRESSED SPECIAL SITUATIONS CO-INVEST FEEDER, L.P.",805-7624997568
1978593,235296,"STARWOOD VEP II CO-INVEST L.L.C.",805-9480829976
1978593,255657,"SOF-XII VIP OFFSHORE, L.P.",805-9925122446
1978593,255657,"SOF-XII VIP TE, L.P.",805-7550304501
1978593,255653,"SOF-XII FEEDER Q, L.P.",805-1896445457
1978593,65597,"STARWOOD INTERNATIONAL OPPORTUNITY FUND X INVESTOR L.P.",805-1505787187
1978593,185989,"STARWOOD OPPORTUNITY FUND XI INVESTOR KA, L.P.",805-3901103275
1978593,186224,"SOF-XI VIP OFFSHORE, L.P.",805-1753258765
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR U.S. INSTITUTIONAL MAR-S AIV II L.P.",805-1522577493
1978593,287227,"STARWOOD OPPORTUNITY FUND XI INVESTOR KT, L.P.",805-1568681018
1978593,287227,"SOF-XI VIP OFFSHORE, L.P.",805-1753258765
1978593,478225,"SOF-XIII VIP OFFSHORE, L.P.",805-9796521038
1978593,478225,"SOF-XIII KA FEEDER, L.P.",805-1342857142
