"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1912927,233662,99235,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,233658,99233,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1912927,199439,80306,"Y","ROYAL MUTUAL FUNDS INC.","",,"TORONTO, ON","","Canada","Y"
1925745,193083,109233,"Y","CHEETAH INVESTMENT MANAGEMENT LIMITED","",161532,"HONG KONG","","Hong Kong","N"
1925745,64763,109232,"Y","CHEETAH INVESTMENT MANAGEMENT LIMITED","",161532,"HONG KONG","","Hong Kong","N"
1925745,193083,254155,"N","ACOLIN FUND SERVICES AG","",,"ZURICH","","Switzerland","N"
1926080,281151,132061,"N","JAMES DAVID ROWE","",,"MESQUITE","Nevada","United States","N"
1926080,281151,132062,"N","UMERGENCE LLC","",,"PLANTSVILLE","Connecticut","United States","N"
1923640,312219,152092,"N","MAN SOLUTIONS LLC","801-72402",157592,"NEW YORK","New York","United States","N"
1927946,436414,260936,"N","DEUTSCHE BANK AG","",,"LONDON","","United Kingdom","N"
1927946,436413,260935,"N","DEUTSCHE BANK AKTIENGESELLSCHAFT","",,"FRANKFURT","","Germany","N"
1927946,365963,199911,"N","MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1927946,366082,199960,"N","MUFG SECURITIES EMEA PLC","",,"LONDON","","United Kingdom","N"
1927946,366084,199961,"N","DEUTSCHE BANK AKTIENGESELLSCHAFT","",,"FRANKFURT","","Germany","N"
1927946,427249,254189,"N","DEUTSCHE BANK AKTIENGESELLSCHAFT","",,"FRANKFURT","","Germany","N"
1922610,309338,150902,"Y","NYLIFE DISTRIBUTORS LLC","8-46655",35350,"JERSEY CITY","New Jersey","United States","N"
1921495,54005,95033,"N","MID-CONTINENT SECURITIES, LTD.","8-65298",120448,"HOUSTON","Texas","United States","N"
