"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
1922647,184600,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",W22LROWP2IHZNBB6K528
1922647,184600,"THE BANK OF NEW YORK MELLON (LONDON BRANCH)","BANK OF NEW YORK MELLON","LONDON","","United Kingdom","N","",HPFHU0OQ28E4N0NFVK49
1922647,184600,"HSBC BANK PLC","HSBC BANK PLC","LONDON","","United Kingdom","N","",MP6I5ZYZBEU3UXPYFY54
1922647,184600,"BNP PARIBAS SA, LONDON BRANCH","BNP PARIBAS","LONDON","","United Kingdom","N","",R0MUWSFPU8MPRO8K5P83
1922647,184600,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",4PQUHN3JPFGFNF3BB653
1922647,213875,"BNP PARIBAS SA, LONDON BRANCH","BNP PARIBAS","LONDON","","United Kingdom","N","",R0MUWSFPU8MPRO8K5P83
1922647,213875,"HSBC BANK PLC","HSBC BANK PLC","LONDON","","United Kingdom","N","",MP6I5ZYZBEU3UXPYFY54
1922647,213875,"MORGAN STANLEY & CO INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",4PQUHN3JPFGFNF3BB653
1922647,213875,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",W22LROWP2IHZNBB6K528
1922647,213875,"THE BANK OF NEW YORK MELLON (LONDON BRANCH)","BANK OF NEW YORK MELLON","LONDON","","United Kingdom","N","",HPFHU0OQ28E4N0NFVK49
1922647,5332,"MORGAN STANLEY & CO. INTERNATIONAL PLC","MORGAN STANLEY","LONDON","","United Kingdom","N","",4PQUHN3JPFGFNF3BB653
1922647,5332,"BNP PARIBAS SA, LONDON BRANCH","BNP PARIBAS","LONDON","","United Kingdom","N","",R0MUWSFPU8MPRO8K5P83
1922647,5332,"HSBC BANK PLC","HSBC BANK PLC","LONDON","","United Kingdom","N","",MP6I5ZYZBEU3UXPYFY54
1922647,5332,"THE BANK OF NEW YORK MELLON (LONDON BRANCH)","BANK OF NEW YORK MELLON","LONDON","","United Kingdom","N","",HPFHU0OQ28E4N0NFVK49
1922647,5332,"GOLDMAN SACHS INTERNATIONAL","GOLDMAN SACHS INTERNATIONAL","LONDON","","United Kingdom","N","",W22LROWP2IHZNBB6K528
1922059,120292,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","Connecticut","United States","N","8-47257",
1922059,120292,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",
1922059,120292,"CF SECURED, LLC","CF SECURED, LLC","NEW YORK","New York","United States","N","8-69863",
1921495,54005,"GOLDMAN SACHS & CO. LLC","GOLDMAN SACHS & CO. LLC","NEW YORK","New York","United States","N","8-129",
1921495,54005,"FROST BANK","FROST BANK","FORT WORTH","Texas","United States","N","",G5AHTAP80NWA3Q8RDC78
1905663,432355,"MERIDIAN BANK","MERIDIAN BANK","MALVERN","Pennsylvania","United States","N","",
