"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1993568,"MVP LS FUND CCLXIV LLC SERIES 1",805-4226836805,305762,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",2718000,10000,96,10,10,"N",35,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCXII LLC SERIES 1",805-3400684976,304492,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",1330000,10000,81,0,0,"N",9,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXVIII LLC SERIES 1",805-4335677278,265900,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",39000,3000,11,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND LXXIV LLC SERIES 1",805-9459196110,265557,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",554000,3000,85,0,0,"N",6,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXXXVII LLC SERIES 1",805-6320196189,265719,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",283000,10000,29,0,0,"N",4,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CLXVI LLC SERIES 1",805-2196656577,265896,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",78000,5000,20,0,0,"N",3,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV VC FUND VII LLC SERIES 1",805-2511036121,176695,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",112000,2000,41,0,0,"N",2,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCVII LLC SERIES 1",805-8916662411,304474,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",691000,10000,55,0,0,"N",4,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCXI LLC SERIES 1",805-2836190211,266253,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",123000,5000,19,0,0,"N",16,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCXIX LLC SERIES 1",805-6366965481,266258,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",650196,15000,92,0,0,"N",9,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCX LLC SERIES 1",805-9495178956,304478,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",195000,10000,19,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCI LLC SERIES 2",805-2371155317,305738,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",2825000,25000,84,7,7,"N",7,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLXIX LLC SERIES 1",805-9881261206,305764,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",574000,10000,44,44,0,"N",26,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CXXIII LLC SERIES 2",805-6314467750,305107,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",423000,10000,23,17,17,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV VC FUND XXIX LLC SERIES 1",805-5393816471,302429,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",578000,10000,67,0,0,"N",14,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCXCVIII LLC SERIES 1",805-5604044438,305069,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",804000,10000,44,44,43,"N",4,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLXXXVI LLC SERIES 1",805-8162150740,305982,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",317000,25000,20,32,32,"N",22,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLXXXVII LLC SERIES 1",805-4560582768,305987,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",1018000,10000,89,0,0,"N",7,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCXXXII LLC SERIES 1",805-8404635783,306009,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",158000,5000,25,0,0,"N",7,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND XCV LLC SERIES 1",805-5007020339,304295,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",94000,5000,12,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCCV LLC SERIES 1",805-5411939616,304314,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",45000,5000,5,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCLXXVII LLC SERIES 1",805-4970554810,305952,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",196000,10000,39,0,0,"N",16,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CCXXXV LLC SERIES 1",805-5135158188,306123,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",278000,10000,21,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND VI LLC SERIES 1",805-5398315924,475674,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",324000,10000,40,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND CXXXIV LLC SERIES 2",805-5743211635,454564,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",11000,5000,2,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND DVIII LLC SERIES 1",805-1240192625,475009,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",1518000,10000,88,0,0,"N",10,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND LXXV LLC SERIES 3",805-6852664939,468095,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",13000,5000,0,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDLVII LLC SERIES 2",805-1040383659,468036,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",2186000,25000,96,0,0,"N",3,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDXXI LLC SERIES 2",805-2266143464,468155,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",15000,10000,2,0,0,"N",33,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP ES FUND CIII LLC SERIES 2",805-8082784317,468491,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",19000,5000,0,0,0,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDLXXXVII LLC SERIES 2",805-9644618232,455360,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",275000,3000,34,0,0,"N",11,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND DXIX LLC SERIES 1",805-7039202889,454580,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",85000,2000,6,0,0,"N",59,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND CDXCIII LLC SERIES 2",805-5317053987,454575,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",48000,2000,4,69,69,"N",0,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
1993568,"MV VC FUND XLI LLC SERIES 1",805-5847224580,474805,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",325000,63,0,0,0,"N",6,"N","N","N",11,"Y","N","","","","N","N","N",0,"N"
1993568,"MVP LS FUND DXVIII LLC SERIES 1",805-7516288429,454583,"Delaware","United States","Y","N","N","N","",,"N","","N","Private Equity Fund","",61000,3000,6,54,54,"N",8,"N","N","N",1,"Y","N","","","","N","N","N",0,"N"
